letters,required,score,words
uecvtar,u,165,34
lenarpi,i,395,78
lenarpi,p,441,89
lenarpi,a,470,101
lenarpi,n,346,67
lenarpi,l,384,82
luecqon,n,83,22
luecqon,o,81,24
luecqon,q,31,4
luecqon,c,80,19
luecqon,e,85,21
luecqon,u,46,11
luecqon,l,67,20
lbeovam,m,166,42
lbeovam,a,202,52
lbeovam,v,88,19
lbeovam,o,129,37
lbeovam,e,205,52
lbeovam,b,188,45
lbeovam,l,200,57
lueqdzi,i,107,21
lueqdzi,z,48,5
lueqdzi,q,76,11
lueqdzi,u,135,25
lueqdzi,l,149,29
uedhnta,t,381,79
uedhnta,a,353,67
uedhnta,n,421,77
uedhnta,h,169,38
uedhnta,u,219,42
lfecdai,i,361,75
lfecdai,a,341,75
lfecdai,c,276,56
lfecdai,l,349,83
lfecdai,f,276,61
lchntar,r,116,24
lchntar,a,200,50
lchntar,t,166,38
lchntar,n,79,17
lchntar,h,94,23
lchntar,c,144,31
lchntar,l,76,18
echtnap,p,180,42
echtnap,a,359,81
echtnap,n,261,52
echtnap,t,295,67
echtnap,h,230,50
echtnap,c,275,55
echtnap,e,354,79
edonxmi,i,180,38
edonxmi,m,171,44
edonxmi,x,62,11
edonxmi,n,201,48
edonxmi,o,158,39
uentami,i,322,62
uentami,m,355,76
uentami,a,365,70
uentami,t,414,85
uentami,n,445,85
uentami,e,377,79
uentami,u,180,33
bcnargi,c,194,32
bcnargi,r,398,70
bcnargi,b,289,49
bcnargi,a,489,86
lyectna,a,332,70
lyectna,n,232,47
lyectna,t,286,56
lyectna,c,200,40
lyectna,e,303,62
lyectna,y,136,24
lyectna,l,240,53
wyonrgi,y,46,11
wyonrgi,w,155,28
wyonrgi,o,212,44
wyonrgi,r,170,34
uedntrp,u,535,99
uedntrp,t,600,104
uedntrp,n,624,107
uedntrp,p,448,78
wledoap,p,394,87
wledoap,a,344,75
wledoap,o,304,70
wledoap,l,498,112
wledoap,w,249,53
gmnarpi,a,457,83
gmnarpi,p,248,44
gmnarpi,m,300,54
gmnarpi,r,347,61
lfuedar,u,355,73
lfuedar,a,375,84
lfuedar,f,378,77
lfuedar,l,467,99
uyeqnti,i,144,29
uyeqnti,t,145,32
uyeqnti,n,152,32
uyeqnti,q,85,13
uyeqnti,e,141,28
uyeqnti,y,73,13
uyeqnti,u,124,23
luetari,i,397,75
luetari,a,507,98
luetari,t,581,111
luetari,u,139,31
luetari,l,439,91
ubecdar,u,240,53
ubecdar,c,302,59
ubecdar,b,320,68
ubecdar,a,428,93
fecdonr,c,532,83
fecdonr,f,381,62
fecdonr,n,514,84
fecdonr,o,650,118
lybdngi,y,97,18
lybdngi,l,154,29
lybdngi,d,163,29
lybdngi,b,130,21
uecohrg,g,95,22
uecohrg,o,165,37
uecohrg,h,121,25
uecohrg,c,137,27
uecohrg,u,115,27
uedhnar,u,234,41
uedhnar,a,405,76
uedhnar,n,376,64
uedhnar,h,237,40
ubeonrg,g,173,42
ubeonrg,n,177,43
ubeonrg,o,180,49
ubeonrg,b,145,39
ubeonrg,u,144,34
lbednri,i,634,118
lbednri,l,422,79
lbednri,n,353,64
lbednri,b,436,76
wfeotar,a,225,58
wfeotar,t,337,80
wfeotar,o,236,52
wfeotar,f,186,48
wfeotar,w,149,34
lubohnr,r,70,19
lubohnr,n,65,17
lubohnr,h,43,10
lubohnr,o,82,25
lubohnr,b,73,21
lubohnr,u,61,18
lubohnr,l,39,16
meotxrp,p,274,60
meotxrp,m,212,50
meotxrp,x,77,12
meotxrp,t,350,73
meotxrp,o,316,74
lbecoak,k,119,36
lbecoak,a,153,44
lbecoak,o,125,39
lbecoak,c,141,37
lbecoak,e,121,38
lbecoak,b,145,41
lbecoak,l,169,54
lgeaxpi,i,86,17
lgeaxpi,p,106,30
lgeaxpi,x,43,8
lgeaxpi,a,135,35
lgeaxpi,e,138,36
lgeaxpi,g,87,21
lgeaxpi,l,156,39
lyecnap,p,185,46
lyecnap,a,251,64
lyecnap,n,149,33
lyecnap,c,146,33
lyecnap,e,196,50
lyecnap,y,110,23
lyecnap,l,168,47
luyedrg,y,134,33
luyedrg,u,267,57
luyedrg,l,257,58
luyedrg,g,259,52
luybeqa,a,107,28
luybeqa,q,50,9
luybeqa,e,126,29
luybeqa,b,116,30
luybeqa,y,77,17
luybeqa,u,96,23
luybeqa,l,139,35
ontamzi,i,229,40
ontamzi,z,53,7
ontamzi,m,187,41
ontamzi,a,259,46
ontamzi,t,207,38
ontamzi,n,254,45
ontamzi,o,233,44
lyovtai,i,77,21
lyovtai,a,142,31
lyovtai,t,114,29
lyovtai,v,58,13
lyovtai,o,99,25
lyovtai,y,94,16
lyovtai,l,146,40
lyhtrgi,i,121,31
lyhtrgi,g,92,20
lyhtrgi,r,57,13
lyhtrgi,t,93,21
lyhtrgi,h,88,16
lyhtrgi,y,58,9
lyhtrgi,l,85,21
levargi,i,314,64
levargi,g,276,57
levargi,a,342,81
levargi,v,352,71
levargi,l,421,91
lfuytpi,i,138,32
lfuytpi,p,101,23
lfuytpi,t,112,26
lfuytpi,y,105,19
lfuytpi,u,142,29
lfuytpi,f,121,26
lfuytpi,l,137,32
lmtarpi,i,210,56
lmtarpi,p,161,42
lmtarpi,r,205,50
lmtarpi,a,281,74
lmtarpi,t,188,48
lmtarpi,m,159,43
lmtarpi,l,196,49
gconazi,c,169,29
gconazi,z,90,13
gconazi,o,188,35
gconazi,a,209,35
wlbenar,a,344,85
wlbenar,n,185,44
wlbenar,b,235,53
wlbenar,l,223,52
wlbenar,w,146,38
gdonrpi,p,268,47
gdonrpi,d,263,47
gdonrpi,o,333,63
gdonrpi,r,298,57
lyedaki,k,115,27
lyedaki,a,226,48
lyedaki,y,177,36
lyedaki,i,223,48
lyedaki,l,295,68
fhntrgi,t,221,41
fhntrgi,f,137,22
fhntrgi,h,150,26
fhntrgi,r,152,27
levnagi,v,344,67
levnagi,a,497,97
levnagi,l,544,102
levnagi,e,510,100
lmedvar,a,518,112
lmedvar,l,432,85
lmedvar,v,273,49
lmedvar,m,316,63
rleovam,m,193,50
rleovam,a,216,59
rleovam,v,214,46
rleovam,o,189,50
rleovam,l,246,63
lueargi,i,193,36
lueargi,g,299,61
lueargi,a,303,67
lueargi,u,172,35
lueargi,l,319,70
lyuhnam,m,125,28
lyuhnam,a,143,35
lyuhnam,n,108,22
lyuhnam,h,41,10
lyuhnam,u,102,24
lyuhnam,y,83,16
lyuhnam,l,114,30
contaki,i,293,53
contaki,k,81,25
contaki,a,336,57
contaki,t,310,58
contaki,n,344,66
contaki,o,277,57
contaki,c,307,58
kechtri,i,368,72
kechtri,k,194,37
kechtri,t,327,62
kechtri,h,287,55
kechtri,c,323,59
wlbcaki,i,107,25
wlbcaki,k,81,22
wlbcaki,a,134,32
wlbcaki,c,103,23
wlbcaki,b,101,21
wlbcaki,l,118,32
wlbcaki,w,26,11
wbedoni,i,183,36
wbedoni,n,240,54
wbedoni,o,216,48
wbedoni,b,126,29
wbedoni,w,188,37
rlotami,i,202,52
rlotami,m,211,56
rlotami,a,319,77
rlotami,t,270,71
rlotami,o,236,65
rlotami,l,211,59
rlotami,r,285,67
uedonrp,u,369,73
uedonrp,n,458,88
uedonrp,o,443,97
uedonrp,p,451,93
wlbedri,i,502,97
wlbedri,l,386,77
wlbedri,w,238,50
wlbedri,b,322,58
wucodnt,t,104,23
wucodnt,n,114,25
wucodnt,d,85,16
wucodnt,o,131,31
wucodnt,c,91,16
wucodnt,u,87,19
wucodnt,w,57,10
glueopi,i,77,16
glueopi,p,77,29
glueopi,o,89,27
glueopi,e,85,25
glueopi,u,44,13
glueopi,l,121,41
glueopi,g,76,21
guedrpi,u,183,38
guedrpi,g,282,52
guedrpi,i,353,67
guedrpi,p,302,62
glyeotp,p,139,40
glyeotp,t,108,27
glyeotp,o,147,44
glyeotp,e,138,38
glyeotp,y,121,23
glyeotp,l,157,46
glyeotp,g,83,18
odntari,i,407,67
odntari,r,389,76
odntari,a,469,80
odntari,t,418,74
odntari,n,374,60
odntari,d,252,47
odntari,o,403,74
lconarg,g,128,35
lconarg,r,156,36
lconarg,a,235,58
lconarg,n,197,47
lconarg,o,237,61
lconarg,c,175,39
lconarg,l,150,42
ecdohap,p,209,51
ecdohap,a,189,43
ecdohap,o,221,51
ecdohap,h,208,45
ecdohap,c,249,54
ucdvtai,i,96,19
ucdvtai,a,99,22
ucdvtai,t,74,16
ucdvtai,v,37,8
ucdvtai,d,70,15
ucdvtai,c,90,17
ucdvtai,u,32,7
ledntai,i,773,134
ledntai,t,835,141
ledntai,a,798,133
ledntai,n,830,136
ledntai,l,754,135
lbonami,i,186,44
lbonami,m,194,51
lbonami,a,229,56
lbonami,n,210,47
lbonami,o,193,50
lbonami,b,145,38
lbonami,l,166,49
fedtaxi,i,133,32
fedtaxi,x,69,14
fedtaxi,a,115,31
fedtaxi,t,151,41
fedtaxi,f,135,33
ecdntar,c,760,120
ecdntar,t,1118,180
ecdntar,n,892,144
ecdntar,a,1226,211
wlfdnai,i,71,23
wlfdnai,a,95,30
wlfdnai,n,70,20
wlfdnai,d,58,16
wlfdnai,f,63,16
wlfdnai,l,83,26
wlfdnai,w,32,14
wuohtrg,g,123,21
wuohtrg,r,147,31
wuohtrg,t,172,38
wuohtrg,h,137,25
wuohtrg,o,177,38
wuohtrg,u,132,28
wuohtrg,w,59,8
wedonar,a,495,105
wedonar,n,455,93
wedonar,w,462,95
wedonar,o,383,82
lentazi,i,227,48
lentazi,z,60,9
lentazi,a,246,52
lentazi,t,303,65
lentazi,n,265,56
lentazi,e,312,66
lentazi,l,254,58
fuevtri,i,209,42
fuevtri,t,199,42
fuevtri,v,119,21
fuevtri,u,83,17
fuevtri,f,154,38
luybecr,c,127,27
luybecr,b,159,37
luybecr,u,224,53
luybecr,y,130,26
luybecr,l,238,55
chnargi,c,360,52
chnargi,h,280,40
chnargi,a,484,74
chnargi,r,380,57
umecnri,i,191,43
umecnri,m,155,33
umecnri,n,153,32
umecnri,c,128,25
umecnri,u,152,29
fueqntr,n,189,35
fueqntr,t,220,45
fueqntr,q,54,6
fueqntr,u,184,35
fueqntr,f,116,23
lecnari,i,403,76
lecnari,a,488,99
lecnari,n,404,76
lecnari,c,421,75
lecnari,l,428,84
fuyhdmi,i,34,6
fuyhdmi,m,60,11
fuyhdmi,d,36,6
fuyhdmi,h,26,4
fuyhdmi,y,53,9
fuyhdmi,u,61,12
fuyhdmi,f,32,8
lfubeni,i,116,29
lfubeni,n,95,19
lfubeni,e,162,43
lfubeni,b,110,26
lfubeni,u,81,22
lfubeni,f,111,30
lfubeni,l,182,48
umbtkzi,i,36,5
umbtkzi,z,30,4
umbtkzi,k,29,3
umbtkzi,t,39,8
umbtkzi,b,37,6
umbtkzi,m,24,4
umbtkzi,u,33,7
lbevnai,i,267,57
lbevnai,a,284,66
lbevnai,n,217,50
lbevnai,v,207,47
lbevnai,e,312,73
lbevnai,b,211,44
lbevnai,l,353,77
lfyunam,m,116,26
lfyunam,a,152,37
lfyunam,n,122,25
lfyunam,u,131,29
lfyunam,y,107,20
lfyunam,f,78,17
lfyunam,l,138,34
fbecdak,k,80,19
fbecdak,a,162,40
fbecdak,c,131,27
fbecdak,b,106,25
fbecdak,f,80,18
mbeoark,k,162,37
mbeoark,m,233,54
mbeoark,a,280,67
mbeoark,o,186,47
mbeoark,b,242,57
rlfcomi,i,83,26
rlfcomi,m,52,18
rlfcomi,o,96,32
rlfcomi,c,77,18
rlfcomi,f,55,19
rlfcomi,l,69,25
rlfcomi,r,72,20
lfycoai,i,148,31
lfycoai,a,200,41
lfycoai,o,144,36
lfycoai,c,175,38
lfycoai,y,132,26
lfycoai,f,136,31
lfycoai,l,242,58
lychtai,i,238,48
lychtai,a,239,51
lychtai,t,238,52
lychtai,h,137,33
lychtai,c,290,55
lychtai,y,150,27
lychtai,l,222,49
ectampi,i,181,42
ectampi,p,141,37
ectampi,m,150,45
ectampi,a,181,49
ectampi,t,203,51
ectampi,c,172,38
ectampi,e,219,58
ubedonr,u,387,70
ubedonr,n,434,82
ubedonr,o,419,87
ubedonr,b,357,69
ednargi,a,1398,211
gbonarz,z,35,6
gbonarz,r,84,27
gbonarz,a,115,33
gbonarz,n,105,28
gbonarz,o,117,32
gbonarz,b,97,27
gbonarz,g,65,21
fuehdmi,i,119,22
fuehdmi,m,122,22
fuehdmi,h,75,13
fuehdmi,u,110,20
fuehdmi,f,103,20
contagi,c,516,74
contagi,t,681,102
contagi,o,606,93
contagi,a,645,99
uevnarp,p,144,38
uevnarp,a,133,40
uevnarp,v,115,28
uevnarp,n,139,30
uevnarp,u,125,26
geoharp,p,192,49
geoharp,a,182,47
geoharp,o,126,34
geoharp,h,84,20
geoharp,g,127,31
ubechtr,t,198,45
ubechtr,h,150,30
ubechtr,c,138,29
ubechtr,b,99,24
ubechtr,u,164,40
ledoxrp,l,379,76
ledoxrp,p,426,86
ledoxrp,o,462,100
ledoxrp,x,75,10
beodvar,a,456,94
beodvar,v,240,43
beodvar,o,389,78
beodvar,b,443,87
uyohtrg,g,128,24
uyohtrg,r,146,35
uyohtrg,t,173,40
uyohtrg,h,131,24
uyohtrg,o,187,44
uyohtrg,y,74,15
uyohtrg,u,152,33
udvnami,i,91,24
udvnami,m,96,23
udvnami,a,100,26
udvnami,n,101,21
udvnami,v,51,11
udvnami,d,62,15
udvnami,u,38,5
lbeoamz,z,57,13
lbeoamz,m,167,44
lbeoamz,a,179,48
lbeoamz,o,94,32
lbeoamz,e,174,46
lbeoamz,b,175,45
lbeoamz,l,162,48
ecdovnr,c,453,75
ecdovnr,n,430,76
ecdovnr,o,570,108
ecdovnr,v,268,47
wlonamp,p,99,29
wlonamp,m,96,27
wlonamp,a,149,42
wlonamp,n,71,21
wlonamp,o,112,38
wlonamp,l,107,38
wlonamp,w,72,18
ecotapi,i,180,35
ecotapi,p,200,49
ecotapi,a,171,40
ecotapi,t,211,49
ecotapi,o,157,36
ecotapi,c,190,42
ecotapi,e,170,40
rldnami,i,211,55
rldnami,m,218,48
rldnami,a,267,66
rldnami,n,156,34
rldnami,d,148,36
rldnami,l,159,39
rldnami,r,149,35
bntargi,a,697,117
bntargi,t,441,72
bntargi,b,319,53
bntargi,r,531,89
rlunkgi,u,132,26
rlunkgi,l,146,30
rlunkgi,k,81,18
rlunkgi,r,132,26
eohnarp,p,229,59
eohnarp,a,177,46
eohnarp,n,157,40
eohnarp,o,175,48
eohnarp,h,109,27
ubedona,a,198,44
ubedona,n,288,62
ubedona,o,196,45
ubedona,b,254,56
ubedona,u,154,30
lechami,i,165,38
lechami,m,135,42
lechami,a,141,43
lechami,h,111,28
lechami,c,191,44
lechami,e,159,45
lechami,l,194,52
lmbeari,i,309,70
lmbeari,m,310,74
lmbeari,a,456,104
lmbeari,b,405,83
lmbeari,l,427,94
lubedrg,u,479,96
lubedrg,l,367,76
lubedrg,g,326,62
lubedrg,b,356,69
ueovntr,t,412,88
ueovntr,v,186,35
ueovntr,n,328,67
ueovntr,o,280,65
ueovntr,u,276,53
wglnapi,a,405,78
wglnapi,l,269,52
wglnapi,w,210,38
wglnapi,p,260,48
luecdhm,m,117,25
luecdhm,h,90,21
luecdhm,c,103,22
luecdhm,u,185,40
luecdhm,l,192,43
lbedarg,a,1056,202
lbedarg,l,655,119
lbedarg,g,619,112
lbedarg,b,685,121
ecohnri,i,269,52
ecohnri,n,281,57
ecohnri,o,314,61
ecohnri,h,253,48
ecohnri,c,341,65
rfedomi,i,331,66
rfedomi,f,327,65
rfedomi,o,322,71
rfedomi,m,301,65
rychtmi,i,84,19
rychtmi,m,57,11
rychtmi,t,71,16
rychtmi,h,69,15
rychtmi,c,66,14
rychtmi,y,57,10
rychtmi,r,58,10
leohnpi,i,162,33
leohnpi,p,178,47
leohnpi,n,162,39
leohnpi,h,83,19
leohnpi,o,179,51
leohnpi,e,181,50
leohnpi,l,175,46
uyeontr,t,372,85
uyeontr,n,265,58
uyeontr,o,223,58
uyeontr,u,230,49
uyeontr,y,81,18
fedontr,t,596,114
fedontr,f,398,73
fedontr,n,499,92
fedontr,o,552,115
ueohtrg,g,215,39
ueohtrg,t,383,77
ueohtrg,o,355,73
ueohtrg,h,237,43
ueohtrg,u,252,51
lfednmi,i,373,85
lfednmi,m,189,44
lfednmi,n,270,54
lfednmi,l,291,66
lfednmi,f,234,49
lconari,i,236,48
lconari,r,202,43
lconari,a,308,62
lconari,n,262,54
lconari,o,286,64
lconari,c,344,64
lconari,l,231,54
lfuyngi,u,185,34
lfuyngi,l,201,38
lfuyngi,y,118,21
lfuyngi,f,173,30
rlnamgi,a,664,115
rlnamgi,l,400,68
rlnamgi,r,405,67
rlnamgi,m,454,74
ubeconr,n,234,47
ubeconr,o,252,55
ubeconr,c,195,36
ubeconr,b,116,31
ubeconr,u,164,33
ubeonrk,k,93,23
ubeonrk,n,140,36
ubeonrk,o,151,41
ubeonrk,b,138,36
ubeonrk,u,94,22
ludnagi,u,206,36
ludnagi,a,322,59
ludnagi,l,338,65
ludnagi,d,275,47
wecdhta,a,318,68
wecdhta,t,285,60
wecdhta,h,295,61
wecdhta,c,238,44
wecdhta,w,128,29
glcnapi,c,246,39
glcnapi,l,362,63
glcnapi,a,455,82
glcnapi,p,283,50
uedntax,x,89,15
uedntax,t,338,64
uedntax,a,290,50
uedntax,n,400,70
uedntax,u,199,36
wlonrgi,l,216,44
wlonrgi,w,206,37
wlonrgi,o,321,66
wlonrgi,r,212,40
lfuetap,p,224,52
lfuetap,a,287,65
lfuetap,t,298,66
lfuetap,e,310,75
lfuetap,u,118,30
lfuetap,f,113,34
lfuetap,l,319,76
fuynmgi,u,140,23
fuynmgi,f,95,17
fuynmgi,y,91,15
fuynmgi,m,117,20
dntamgi,a,468,78
dntamgi,t,313,49
dntamgi,d,204,33
dntamgi,m,335,56
wyentar,t,406,83
wyentar,a,397,92
wyentar,n,315,67
wyentar,y,193,41
wyentar,w,169,44
beonagi,a,201,41
beonagi,o,198,43
beonagi,e,208,45
beonagi,b,306,58
bednagi,a,466,86
bednagi,b,426,77
ybednri,y,77,18
ybednri,n,235,46
ybednri,i,350,66
ybednri,b,214,41
lcnarpi,i,155,36
lcnarpi,p,112,27
lcnarpi,r,85,22
lcnarpi,a,195,49
lcnarpi,n,116,24
lcnarpi,c,153,30
lcnarpi,l,151,36
ecdhamp,p,149,35
ecdhamp,m,150,35
ecdhamp,a,254,60
ecdhamp,h,120,26
ecdhamp,c,192,41
lbnargi,a,562,103
lbnargi,l,297,57
lbnargi,b,347,60
lbnargi,r,383,69
guedoap,p,137,34
guedoap,a,128,31
guedoap,o,117,26
guedoap,u,68,14
guedoap,g,149,34
lyecnam,m,180,45
lyecnam,a,236,64
lyecnam,n,163,37
lyecnam,c,140,33
lyecnam,e,182,46
lyecnam,y,131,26
lyecnam,l,200,49
lyetamp,p,265,61
lyetamp,m,176,47
lyetamp,a,364,86
lyetamp,t,305,68
lyetamp,e,354,85
lyetamp,y,140,28
lyetamp,l,350,79
lfuohtm,m,45,13
lfuohtm,t,64,25
lfuohtm,h,32,10
lfuohtm,o,61,27
lfuohtm,u,56,20
lfuohtm,f,35,13
lfuohtm,l,52,21
edaxmzi,i,105,24
edaxmzi,z,55,10
edaxmzi,m,148,36
edaxmzi,x,47,8
edaxmzi,a,143,37
yedntmi,i,308,71
yedntmi,m,190,45
yedntmi,t,311,69
yedntmi,n,324,67
yedntmi,y,102,22
ehtargi,i,371,67
ehtargi,g,280,53
ehtargi,a,456,93
ehtargi,t,608,114
ehtargi,h,316,62
lubecap,p,135,35
lubecap,a,178,45
lubecap,c,96,22
lubecap,e,178,46
lubecap,b,134,32
lubecap,u,69,21
lubecap,l,199,53
lecdhar,c,401,75
lecdhar,l,329,69
lecdhar,h,317,64
lecdhar,a,603,126
geotmpi,i,71,19
geotmpi,p,102,27
geotmpi,m,89,31
geotmpi,t,115,33
geotmpi,o,86,25
geotmpi,e,108,35
geotmpi,g,21,3
yentari,i,519,90
yentari,t,764,138
yentari,a,603,113
yentari,n,582,105
yentari,y,215,43
lecdomp,p,274,61
lecdomp,m,210,46
lecdomp,o,409,98
lecdomp,c,153,33
lecdomp,l,324,72
lubedot,t,267,64
lubedot,o,304,74
lubedot,b,316,70
lubedot,u,235,52
lubedot,l,361,84
luecotm,m,142,37
luecotm,t,204,54
luecotm,o,174,47
luecotm,c,134,30
luecotm,e,193,47
luecotm,u,119,28
luecotm,l,173,47
luqctai,i,134,27
luqctai,a,127,27
luqctai,t,120,29
luqctai,c,131,25
luqctai,q,46,8
luqctai,u,65,16
luqctai,l,113,28
rwecnam,m,178,40
rwecnam,a,281,72
rwecnam,n,182,41
rwecnam,c,154,34
rwecnam,w,88,25
lfedami,i,349,81
lfedami,m,303,72
lfedami,a,357,84
lfedami,l,421,99
lfedami,f,236,54
edntarp,a,1226,212
edntarp,n,883,140
edntarp,t,1088,180
edntarp,p,844,139
ychtnzi,i,83,23
ychtnzi,z,26,4
ychtnzi,n,58,15
ychtnzi,t,58,15
ychtnzi,h,59,15
ychtnzi,c,59,15
ychtnzi,y,41,8
lecampi,i,180,44
lecampi,p,191,51
lecampi,m,167,50
lecampi,a,260,69
lecampi,c,183,45
lecampi,e,208,57
lecampi,l,251,66
gydorpi,i,51,13
gydorpi,p,56,17
gydorpi,r,69,25
gydorpi,o,80,28
gydorpi,d,57,19
gydorpi,y,63,15
gydorpi,g,61,19
ubeohtg,g,79,15
ubeohtg,t,113,31
ubeohtg,h,90,20
ubeohtg,o,99,26
ubeohtg,e,65,15
ubeohtg,b,68,18
ubeohtg,u,80,20
lyontai,i,293,51
lyontai,a,368,60
lyontai,t,344,62
lyontai,n,330,58
lyontai,o,309,56
lyontai,y,217,33
lyontai,l,291,59
wlecdok,k,100,26
wlecdok,o,236,58
wlecdok,c,168,40
wlecdok,l,188,47
wlecdok,w,129,29
whntrgi,t,233,45
whntrgi,w,172,31
whntrgi,h,151,29
whntrgi,r,134,25
wlmeark,k,93,27
wlmeark,m,146,37
wlmeark,a,193,57
wlmeark,l,96,33
wlmeark,w,81,25
lmedrgi,i,530,108
lmedrgi,l,354,74
lmedrgi,g,381,70
lmedrgi,m,289,58
lyecntx,x,57,10
lyecntx,t,79,17
lyecntx,n,72,14
lyecntx,c,55,9
lyecntx,e,102,23
lyecntx,y,36,6
lyecntx,l,74,14
rcdhami,i,124,31
rcdhami,m,119,27
rcdhami,a,185,46
rcdhami,h,85,19
rcdhami,d,105,24
rcdhami,c,138,29
rcdhami,r,139,33
lfyedar,y,295,62
lfyedar,a,487,105
lfyedar,f,297,61
lfyedar,l,385,81
luecdrp,u,411,85
luecdrp,c,271,50
luecdrp,l,327,65
luecdrp,p,288,56
rwetamk,k,130,30
rwetamk,m,154,41
rwetamk,a,274,71
rwetamk,t,209,53
rwetamk,w,106,27
luetarg,g,328,69
luetarg,a,515,109
luetarg,t,406,80
luetarg,u,206,47
luetarg,l,369,79
ohntrgi,t,308,63
ohntrgi,o,302,62
ohntrgi,r,233,48
ohntrgi,h,196,36
eonargi,a,567,100
eonargi,o,297,58
ruedonm,u,353,66
ruedonm,n,353,73
ruedonm,o,345,82
ruedonm,m,311,66
wueotrg,g,110,26
wueotrg,t,244,53
wueotrg,o,236,56
wueotrg,u,144,32
wueotrg,w,93,20
lueotap,p,302,75
lueotap,a,285,63
lueotap,t,326,74
lueotap,o,147,45
lueotap,e,297,67
lueotap,u,127,30
lueotap,l,329,81
uedonrg,u,457,79
uedonrg,n,536,91
uedonrg,o,484,90
uedonrg,g,509,86
wlecoar,a,216,55
wlecoar,o,196,48
wlecoar,c,211,49
wlecoar,l,216,58
wlecoar,w,101,32
wyedhai,i,38,11
wyedhai,a,108,25
wyedhai,h,91,20
wyedhai,y,60,15
wyedhai,w,88,21
recnamp,p,246,54
recnamp,m,201,46
recnamp,a,417,97
recnamp,n,229,44
recnamp,c,280,56
glentpi,t,471,87
glentpi,l,410,76
glentpi,e,527,100
glentpi,p,289,53
leovtai,i,161,37
leovtai,a,189,42
leovtai,t,225,53
leovtai,v,161,39
leovtai,o,128,34
leovtai,e,232,52
leovtai,l,271,70
wecdhti,i,241,54
wecdhti,t,244,51
wecdhti,h,191,42
wecdhti,c,202,40
wecdhti,w,129,27
lyenari,i,213,48
lyenari,a,296,70
lyenari,n,218,48
lyenari,y,163,36
lyenari,l,261,62
wednarp,a,679,137
wednarp,n,418,80
wednarp,w,347,76
wednarp,p,433,82
wevntri,i,496,85
wevntri,n,407,72
wevntri,v,278,44
