letters,required,score,words
fuevtri,v,119,21
fuevtri,u,83,17
fuevtri,f,154,38
luybecr,c,127,27
luybecr,b,159,37
luybecr,u,224,53
luybecr,y,130,26
luybecr,l,238,55
umecnri,i,191,43
umecnri,m,155,33
umecnri,n,153,32
umecnri,c,128,25
umecnri,u,152,29
fueqntr,n,189,35
fueqntr,t,220,45
fueqntr,q,54,6
fueqntr,u,184,35
fueqntr,f,116,23
fuyhdmi,i,34,6
fuyhdmi,m,60,11
fuyhdmi,d,36,6
fuyhdmi,h,26,4
fuyhdmi,y,53,9
fuyhdmi,u,61,12
fuyhdmi,f,32,8
lfubeni,i,116,29
lfubeni,n,95,19
lfubeni,e,162,43
lfubeni,b,110,26
lfubeni,u,81,22
lfubeni,f,111,30
lfubeni,l,182,48
umbtkzi,i,36,5
umbtkzi,z,30,4
umbtkzi,k,29,3
umbtkzi,t,39,8
umbtkzi,b,37,6
umbtkzi,m,24,4
umbtkzi,u,33,7
lbevnai,n,217,50
lbevnai,v,207,47
lbevnai,b,211,44
lfyunam,m,116,26
lfyunam,a,152,37
lfyunam,n,122,25
lfyunam,u,131,29
lfyunam,y,107,20
lfyunam,f,78,17
lfyunam,l,138,34
fbecdak,k,80,19
fbecdak,a,162,40
fbecdak,c,131,27
fbecdak,b,106,25
fbecdak,f,80,18
mbeoark,k,162,37
mbeoark,m,233,54
mbeoark,o,186,47
mbeoark,b,242,57
rlfcomi,i,83,26
rlfcomi,m,52,18
rlfcomi,o,96,32
rlfcomi,c,77,18
rlfcomi,f,55,19
rlfcomi,l,69,25
rlfcomi,r,72,20
lfycoai,i,148,31
lfycoai,a,200,41
lfycoai,o,144,36
lfycoai,c,175,38
lfycoai,y,132,26
lfycoai,f,136,31
lfycoai,l,242,58
lychtai,i,238,48
lychtai,a,239,51
lychtai,t,238,52
lychtai,h,137,33
lychtai,y,150,27
lychtai,l,222,49
ectampi,i,181,42
ectampi,p,141,37
ectampi,m,150,45
ectampi,a,181,49
ectampi,t,203,51
ectampi,c,172,38
ectampi,e,219,58
gbonarz,z,35,6
gbonarz,r,84,27
gbonarz,a,115,33
gbonarz,n,105,28
gbonarz,o,117,32
gbonarz,b,97,27
gbonarz,g,65,21
fuehdmi,i,119,22
fuehdmi,m,122,22
fuehdmi,h,75,13
fuehdmi,u,110,20
fuehdmi,f,103,20
uevnarp,p,144,38
uevnarp,a,133,40
uevnarp,v,115,28
uevnarp,n,139,30
uevnarp,u,125,26
geoharp,p,192,49
geoharp,a,182,47
geoharp,o,126,34
geoharp,h,84,20
geoharp,g,127,31
ubechtr,t,198,45
ubechtr,h,150,30
ubechtr,c,138,29
ubechtr,b,99,24
ubechtr,u,164,40
ledoxrp,x,75,10
beodvar,v,240,43
uyohtrg,g,128,24
uyohtrg,r,146,35
uyohtrg,t,173,40
uyohtrg,h,131,24
uyohtrg,o,187,44
uyohtrg,y,74,15
uyohtrg,u,152,33
udvnami,i,91,24
udvnami,m,96,23
udvnami,a,100,26
udvnami,n,101,21
udvnami,v,51,11
udvnami,d,62,15
udvnami,u,38,5
lbeoamz,z,57,13
lbeoamz,m,167,44
lbeoamz,a,179,48
lbeoamz,o,94,32
lbeoamz,e,174,46
lbeoamz,b,175,45
lbeoamz,l,162,48
wlonamp,p,99,29
wlonamp,m,96,27
wlonamp,a,149,42
wlonamp,n,71,21
wlonamp,o,112,38
wlonamp,l,107,38
wlonamp,w,72,18
ecotapi,i,180,35
ecotapi,p,200,49
ecotapi,a,171,40
ecotapi,t,211,49
ecotapi,o,157,36
ecotapi,c,190,42
ecotapi,e,170,40
rldnami,i,211,55
rldnami,m,218,48
rldnami,n,156,34
rldnami,d,148,36
rldnami,l,159,39
rldnami,r,149,35
rlunkgi,u,132,26
rlunkgi,l,146,30
rlunkgi,k,81,18
rlunkgi,r,132,26
eohnarp,p,229,59
eohnarp,a,177,46
eohnarp,n,157,40
eohnarp,o,175,48
eohnarp,h,109,27
ubedona,a,198,44
ubedona,o,196,45
ubedona,u,154,30
lechami,i,165,38
lechami,m,135,42
lechami,a,141,43
lechami,h,111,28
lechami,c,191,44
lechami,e,159,45
lechami,l,194,52
ueovntr,v,186,35
wglnapi,w,210,38
luecdhm,m,117,25
luecdhm,h,90,21
luecdhm,c,103,22
luecdhm,u,185,40
luecdhm,l,192,43
rychtmi,i,84,19
rychtmi,m,57,11
rychtmi,t,71,16
rychtmi,h,69,15
rychtmi,c,66,14
rychtmi,y,57,10
rychtmi,r,58,10
leohnpi,i,162,33
leohnpi,p,178,47
leohnpi,n,162,39
leohnpi,h,83,19
leohnpi,o,179,51
leohnpi,e,181,50
leohnpi,l,175,46
uyeontr,o,223,58
uyeontr,u,230,49
uyeontr,y,81,18
ueohtrg,g,215,39
ueohtrg,h,237,43
lfednmi,m,189,44
lfednmi,f,234,49
lconari,i,236,48
lconari,r,202,43
lconari,l,231,54
lfuyngi,u,185,34
lfuyngi,l,201,38
lfuyngi,y,118,21
lfuyngi,f,173,30
ubeconr,n,234,47
ubeconr,c,195,36
ubeconr,b,116,31
ubeconr,u,164,33
ubeonrk,k,93,23
ubeonrk,n,140,36
ubeonrk,o,151,41
ubeonrk,b,138,36
ubeonrk,u,94,22
ludnagi,u,206,36
wecdhta,c,238,44
wecdhta,w,128,29
glcnapi,c,246,39
uedntax,x,89,15
uedntax,u,199,36
wlonrgi,l,216,44
wlonrgi,w,206,37
wlonrgi,r,212,40
lfuetap,p,224,52
lfuetap,u,118,30
lfuetap,f,113,34
fuynmgi,u,140,23
fuynmgi,f,95,17
fuynmgi,y,91,15
fuynmgi,m,117,20
dntamgi,d,204,33
wyentar,y,193,41
wyentar,w,169,44
beonagi,a,201,41
beonagi,o,198,43
beonagi,e,208,45
ybednri,y,77,18
ybednri,n,235,46
ybednri,b,214,41
lcnarpi,i,155,36
lcnarpi,p,112,27
lcnarpi,r,85,22
lcnarpi,a,195,49
lcnarpi,n,116,24
lcnarpi,c,153,30
lcnarpi,l,151,36
ecdhamp,p,149,35
ecdhamp,m,150,35
ecdhamp,h,120,26
ecdhamp,c,192,41
guedoap,p,137,34
guedoap,a,128,31
guedoap,o,117,26
guedoap,u,68,14
guedoap,g,149,34
lyecnam,m,180,45
lyecnam,a,236,64
lyecnam,n,163,37
lyecnam,c,140,33
lyecnam,e,182,46
lyecnam,y,131,26
lyecnam,l,200,49
lyetamp,m,176,47
lyetamp,y,140,28
lfuohtm,m,45,13
lfuohtm,t,64,25
lfuohtm,h,32,10
lfuohtm,o,61,27
lfuohtm,u,56,20
lfuohtm,f,35,13
lfuohtm,l,52,21
edaxmzi,i,105,24
edaxmzi,z,55,10
edaxmzi,m,148,36
edaxmzi,x,47,8
edaxmzi,a,143,37
yedntmi,m,190,45
yedntmi,y,102,22
lubecap,p,135,35
lubecap,a,178,45
lubecap,c,96,22
lubecap,e,178,46
lubecap,b,134,32
lubecap,u,69,21
lubecap,l,199,53
geotmpi,i,71,19
geotmpi,p,102,27
geotmpi,m,89,31
geotmpi,t,115,33
geotmpi,o,86,25
geotmpi,e,108,35
geotmpi,g,21,3
yentari,y,215,43
lecdomp,m,210,46
lecdomp,c,153,33
lubedot,u,235,52
luecotm,m,142,37
luecotm,t,204,54
luecotm,o,174,47
luecotm,c,134,30
luecotm,e,193,47
luecotm,u,119,28
luecotm,l,173,47
luqctai,i,134,27
luqctai,a,127,27
luqctai,t,120,29
luqctai,c,131,25
luqctai,q,46,8
luqctai,u,65,16
luqctai,l,113,28
rwecnam,m,178,40
rwecnam,n,182,41
rwecnam,c,154,34
rwecnam,w,88,25
lfedami,f,236,54
ychtnzi,i,83,23
ychtnzi,z,26,4
ychtnzi,n,58,15
ychtnzi,t,58,15
ychtnzi,h,59,15
ychtnzi,c,59,15
ychtnzi,y,41,8
lecampi,i,180,44
lecampi,p,191,51
lecampi,m,167,50
lecampi,c,183,45
lecampi,e,208,57
gydorpi,i,51,13
gydorpi,p,56,17
gydorpi,r,69,25
gydorpi,o,80,28
gydorpi,d,57,19
gydorpi,y,63,15
gydorpi,g,61,19
ubeohtg,g,79,15
ubeohtg,t,113,31
ubeohtg,h,90,20
ubeohtg,o,99,26
ubeohtg,e,65,15
ubeohtg,b,68,18
ubeohtg,u,80,20
lyontai,y,217,33
wlecdok,k,100,26
wlecdok,o,236,58
wlecdok,c,168,40
wlecdok,l,188,47
wlecdok,w,129,29
whntrgi,t,233,45
whntrgi,w,172,31
whntrgi,h,151,29
whntrgi,r,134,25
wlmeark,k,93,27
wlmeark,m,146,37
wlmeark,a,193,57
wlmeark,l,96,33
wlmeark,w,81,25
lyecntx,x,57,10
lyecntx,t,79,17
lyecntx,n,72,14
lyecntx,c,55,9
lyecntx,e,102,23
lyecntx,y,36,6
lyecntx,l,74,14
rcdhami,i,124,31
rcdhami,m,119,27
rcdhami,a,185,46
rcdhami,h,85,19
rcdhami,d,105,24
rcdhami,c,138,29
rcdhami,r,139,33
rwetamk,k,130,30
rwetamk,m,154,41
rwetamk,t,209,53
rwetamk,w,106,27
luetarg,u,206,47
ohntrgi,r,233,48
ohntrgi,h,196,36
wueotrg,g,110,26
wueotrg,t,244,53
wueotrg,o,236,56
wueotrg,u,144,32
wueotrg,w,93,20
lueotap,o,147,45
lueotap,u,127,30
wlecoar,a,216,55
wlecoar,o,196,48
wlecoar,c,211,49
wlecoar,l,216,58
wlecoar,w,101,32
wyedhai,i,38,11
wyedhai,a,108,25
wyedhai,h,91,20
wyedhai,y,60,15
wyedhai,w,88,21
recnamp,p,246,54
recnamp,m,201,46
recnamp,n,229,44
leovtai,i,161,37
leovtai,a,189,42
leovtai,t,225,53
leovtai,v,161,39
leovtai,o,128,34
leovtai,e,232,52
wecdhti,i,241,54
wecdhti,t,244,51
wecdhti,h,191,42
wecdhti,c,202,40
wecdhti,w,129,27
lyenari,i,213,48
lyenari,n,218,48
lyenari,y,163,36
wevntri,w,250,46
luetaxp,p,228,52
luetaxp,x,50,10
luetaxp,a,247,54
luetaxp,u,103,23
lfuedng,g,171,38
lfuedng,n,216,42
lfuedng,f,198,41
wfunagi,u,54,9
wfunagi,a,190,36
wfunagi,f,73,16
wfunagi,w,123,21
uecdtrk,u,243,54
uecdtrk,c,250,49
uecdtrk,t,209,41
uecdtrk,k,90,18
rleoami,i,221,49
rleoami,o,176,42
rleoami,l,250,65
kmcargi,i,71,18
kmcargi,g,54,12
kmcargi,r,74,21
kmcargi,a,97,27
kmcargi,c,75,17
kmcargi,m,84,21
kmcargi,k,41,9
ecntamp,p,142,35
ecntamp,m,148,39
ecntamp,t,239,55
ecntamp,n,245,50
ecntamp,c,174,36
yecntrp,p,175,36
yecntrp,n,142,27
yecntrp,t,207,41
yecntrp,c,100,16
yecntrp,y,96,19
ujntagi,u,139,24
ujntagi,a,218,40
ujntagi,t,237,43
ujntagi,j,57,9
lfontai,f,224,45
fucnkgi,u,63,13
fucnkgi,c,56,11
fucnkgi,f,58,12
fucnkgi,k,76,17
luecnap,p,151,41
luecnap,a,233,60
luecnap,n,162,37
luecnap,c,146,33
luecnap,e,183,47
luecnap,u,86,21
luecnap,l,181,51
cohnkgi,k,187,38
cohnkgi,c,245,46
cohnkgi,h,177,32
lbonazi,i,89,20
lbonazi,z,48,7
lbonazi,a,124,28
lbonazi,n,134,30
lbonazi,o,126,31
lbonazi,b,117,28
lbonazi,l,103,29
luedvna,v,219,43
luedvna,u,241,47
gconkpi,k,157,34
gconkpi,c,172,34
gconkpi,p,191,33
gconkpi,o,234,49
leconxi,i,137,31
leconxi,x,41,7
leconxi,n,162,40
leconxi,o,145,40
leconxi,c,160,36
leconxi,e,170,39
leconxi,l,156,37
fuedrgi,u,198,40
lycohrp,p,88,27
lycohrp,r,63,12
lycohrp,h,63,13
lycohrp,o,137,41
lycohrp,c,69,17
lycohrp,y,87,17
lycohrp,l,81,23
gujedrp,u,217,41
gujedrp,g,168,29
gujedrp,p,185,36
gujedrp,j,79,11
edhnami,i,211,49
edhnami,h,123,22
uecdhpi,i,141,32
uecdhpi,p,128,28
uecdhpi,h,87,19
uecdhpi,c,139,29
uecdhpi,u,75,15
fytargi,i,109,28
fytargi,g,48,14
fytargi,r,153,41
fytargi,a,160,41
fytargi,t,127,33
fytargi,y,84,19
fytargi,f,103,27
lyjonti,i,73,24
lyjonti,t,64,23
lyjonti,n,74,23
lyjonti,o,80,27
lyjonti,j,40,9
lyjonti,y,51,12
lyjonti,l,64,24
lucnrgi,u,194,35
lucnrgi,c,139,21
lucnrgi,l,181,32
lucnrgi,r,185,32
luecqoa,a,52,14
luecqoa,o,47,13
luecqoa,q,35,6
luecqoa,c,49,15
luecqoa,e,50,12
luecqoa,u,39,10
luecqoa,l,54,20
ruonmgi,u,170,26
ruonmgi,o,245,46
ruonmgi,m,227,39
lmbecri,i,210,50
lmbecri,m,140,33
lmbecri,c,104,21
lmbecri,b,140,29
lmbecri,l,174,40
ueqntai,i,164,30
ueqntai,a,163,30
ueqntai,t,229,47
ueqntai,n,235,46
ueqntai,q,118,18
ueqntai,e,213,39
ueqntai,u,172,32
wledhri,h,158,36
yecdami,i,189,42
yecdami,m,184,44
yecdami,a,236,52
yecdami,c,206,41
yecdami,y,76,14
lechtap,h,215,53
fuecdri,u,184,40
fuecdri,f,246,48
yvntrgi,y,56,9
yvntrgi,t,109,20
yvntrgi,v,41,5
yvntrgi,r,89,16
luconam,m,124,33
luconam,a,155,43
luconam,n,144,34
luconam,o,118,35
luconam,c,118,28
luconam,u,78,19
luconam,l,113,39
gldnrzi,l,111,19
gldnrzi,d,151,26
gldnrzi,r,138,25
gldnrzi,z,24,3
ruyecki,k,58,13
ruyecki,c,91,22
ruyecki,u,43,10
ruyecki,i,79,17
ruyecki,y,37,8
lfuedot,t,223,58
lfuedot,o,228,60
lfuedot,u,203,48
lfuedot,f,218,56
lodnami,i,202,47
lodnami,m,238,59
lodnami,a,243,58
lodnami,n,238,52
lodnami,d,139,36
lodnami,o,171,46
lodnami,l,150,44
fontaxi,i,155,30
fontaxi,x,49,8
fontaxi,a,149,27
fontaxi,t,154,31
fontaxi,n,157,31
fontaxi,o,130,26
fontaxi,f,53,13
jbecdot,t,141,30
jbecdot,o,149,35
jbecdot,c,112,21
jbecdot,b,84,18
jbecdot,j,65,9
wohntar,r,190,43
wohntar,a,166,41
wohntar,t,188,49
wohntar,n,106,27
wohntar,h,113,27
wohntar,o,171,43
wohntar,w,108,25
fodnrgi,f,145,29
fodnrgi,d,217,44
reohntm,m,243,53
reohntm,h,242,46
eovtark,k,94,21
eovtark,a,212,47
eovtark,v,128,26
eovtark,o,214,48
wenakgi,k,149,31
wenakgi,w,226,44
wenakgi,e,188,39
fucdhna,a,50,9
fucdhna,n,46,9
fucdhna,h,44,8
fucdhna,d,29,6
fucdhna,c,43,7
fucdhna,u,42,10
fucdhna,f,30,8
yecdonp,p,190,43
yecdonp,n,246,50
yecdonp,c,202,37
yecdonp,y,95,20
lcoargi,i,154,34
lcoargi,g,111,28
lcoargi,r,137,35
lcoargi,a,174,43
lcoargi,o,169,41
lcoargi,c,179,37
lcoargi,l,180,49
ubohtrg,g,113,22
ubohtrg,r,139,34
ubohtrg,t,164,42
ubohtrg,h,141,29
ubohtrg,o,187,46
ubohtrg,b,79,21
ubohtrg,u,149,37
lujonar,r,55,15
lujonar,a,63,19
lujonar,n,58,17
lujonar,o,41,15
lujonar,j,21,4
lujonar,u,64,15
lujonar,l,69,20
bhnampi,i,51,14
bhnampi,p,25,5
bhnampi,m,54,14
bhnampi,a,51,14
bhnampi,n,58,12
bhnampi,h,16,1
bhnampi,b,29,5
uchnkgi,u,91,16
uchnkgi,c,136,26
uchnkgi,h,136,27
uchnkgi,k,89,19
weotarp,w,186,42
rweonmk,k,86,24
rweonmk,m,69,24
rweonmk,n,101,31
rweonmk,o,138,43
rweonmk,w,105,29
rleontm,l,208,49
ubedhtm,m,92,22
ubedhtm,t,119,32
ubedhtm,h,78,16
ubedhtm,b,106,21
ubedhtm,u,115,27
gcntrzi,c,71,10
gcntrzi,t,99,17
gcntrzi,r,92,16
gcntrzi,z,34,5
glecapi,i,148,30
glecapi,p,160,43
glecapi,a,224,54
glecapi,c,132,30
glecapi,e,189,49
glecapi,l,207,51
glecapi,g,100,24
uecdovh,v,36,7
uecdovh,o,128,28
uecdovh,h,88,19
uecdovh,c,114,24
uecdovh,u,71,14
ucntami,i,199,40
ucntami,m,139,30
ucntami,a,213,44
ucntami,t,169,38
ucntami,n,212,42
ucntami,c,130,24
ucntami,u,100,21
lecdomi,m,239,55
ymetxri,i,144,35
ymetxri,m,122,32
ymetxri,x,43,7
ymetxri,t,159,39
ymetxri,y,51,9
lycarpi,i,184,38
lycarpi,p,141,32
lycarpi,r,167,36
lycarpi,c,186,35
lycarpi,y,186,35
lycarpi,l,205,44
lcovnai,i,232,45
lcovnai,n,216,44
lcovnai,v,130,25
lcovnai,o,191,45
lcovnai,c,229,44
lcovnai,l,235,52
fuontrp,p,106,27
fuontrp,r,151,41
fuontrp,t,149,43
fuontrp,n,103,25
fuontrp,o,175,51
fuontrp,u,117,35
fuontrp,f,70,20
rudohmi,i,67,9
rudohmi,m,91,18
rudohmi,h,65,10
rudohmi,o,84,22
rudohmi,d,84,20
rudohmi,u,82,14
rudohmi,r,90,20
lbechta,h,216,51
lbechta,c,217,43
lbechta,b,153,38
lchnapi,i,211,43
lchnapi,p,138,30
lchnapi,a,178,40
lchnapi,n,129,26
lchnapi,h,127,26
lchnapi,c,196,38
lchnapi,l,189,40
ubeqoti,i,54,10
ubeqoti,t,91,24
ubeqoti,o,57,15
ubeqoti,q,62,10
ubeqoti,e,78,16
ubeqoti,b,54,15
ubeqoti,u,72,16
guhtrpi,i,55,16
guhtrpi,p,33,10
guhtrpi,r,39,14
guhtrpi,t,62,19
guhtrpi,h,51,12
guhtrpi,u,33,10
guhtrpi,g,49,14
luednmi,m,240,52
luednmi,u,227,44
luytrgi,i,73,20
luytrgi,g,65,18
luytrgi,r,41,11
luytrgi,t,65,17
luytrgi,y,59,10
luytrgi,u,56,13
luytrgi,l,78,22
lbotari,i,204,51
lbotari,r,239,58
lbotari,o,234,64
lbotari,b,177,45
lbotari,l,174,54
ydntrgi,y,113,19
ydntrgi,t,155,30
ydntrgi,d,167,31
ydntrgi,r,150,29
uyeqcda,a,89,18
uyeqcda,q,34,7
uyeqcda,c,95,17
uyeqcda,u,77,16
uyeqcda,y,46,10
lbedhar,h,225,47
gmdarpi,i,77,27
gmdarpi,p,42,15
gmdarpi,r,102,33
gmdarpi,a,113,36
gmdarpi,d,76,22
gmdarpi,m,96,27
gmdarpi,g,54,16
lfuenar,n,223,45
lfuenar,u,223,48
lfuenar,f,218,49
ecotaxr,x,82,14
ecotaxr,o,243,51
lubqngi,u,132,24
lubqngi,q,21,2
lubqngi,l,147,28
lubqngi,b,124,21
wlenarg,l,247,55
wlenarg,w,136,36
luevarg,v,240,48
luevarg,u,181,40
luecngi,u,153,30
luecngi,c,162,28
luecngi,e,226,45
ludvngi,u,130,23
ludvngi,l,137,26
ludvngi,d,175,29
ludvngi,v,65,9
becdhri,c,234,43
becdhri,h,162,33
becdhri,b,161,30
wubdonr,r,93,25
wubdonr,n,103,24
wubdonr,o,134,37
wubdonr,d,81,22
wubdonr,b,86,21
wubdonr,u,85,18
wubdonr,w,60,13
ueqdtri,u,227,43
ueqdtri,q,136,21
mecarpk,k,127,30
mecarpk,p,203,51
mecarpk,m,187,42
mecarpk,c,196,44
